|       | Skate or Die                                                | Palcom                 | Nintendo Entertainment System | 1990 | Europe
|       | Ski or Die                                                  | Palcom                 | Nintendo Entertainment System | 1991 | Europe
|       | Slalom                                                      | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Smash T.V.                                                  | Acclaim                | Nintendo Entertainment System | 1991 | Europe
|       | Smurfs, The                                                 | Infogrames             | Nintendo Entertainment System | 1994 | Europe
|       | Snake Rattle n Roll                                         | Nintendo               | Nintendo Entertainment System | 1991 | Europe
|       | Snake's Revenge                                             | Konami                 | Nintendo Entertainment System | 1992 | Europe
|       | Snow Brothers                                               | Capcom                 | Nintendo Entertainment System | 1991 | Europe
|       | Snowboard Challenge                                         | Activision             | Nintendo Entertainment System | 1990 | Europe
|       | Soccer                                                      | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Solar Jetman: Hunt for the Golden Warpship                  | Tradewest              | Nintendo Entertainment System | 1991 | Europe
|       | Solomon's Key                                               | Tecmo                  | Nintendo Entertainment System | 1990 | Europe
|       | Solomon's Key 2                                             | Tecmo                  | Nintendo Entertainment System | 1993 | Europe
|       | Solstice: The Quest for the Staff of Demnos                 | Software Creations     | Nintendo Entertainment System | 1991 | Europe
|       | Spider-Man: Return of the Sinister Six                      | LJN Ltd.               | Nintendo Entertainment System | 1992 | Europe
|       | Spy vs. Spy                                                 | Kemco                  | Nintendo Entertainment System | 1990 | Europe
|       | Stack-Up                                                    | Nintendo               | Nintendo Entertainment System | 1985 | Europe
|       | Stadium Events                                              | Bandai                 | Nintendo Entertainment System | 1988 | Europe
|       | Star Force                                                  | Tecmo                  | Nintendo Entertainment System | 1990 | Europe
|       | Star Trek: 25th Anniversary                                 | Konami                 | Nintendo Entertainment System | 1991 | Europe
|       | Star Wars                                                   | Lucasfilm Games        | Nintendo Entertainment System | 1992 | Europe
|       | Star Wars: The Empire Strikes Back                          | JVC Digital Studios    | Nintendo Entertainment System | 1993 | Europe
|       | StarTropics                                                 | Nintendo               | Nintendo Entertainment System | 1992 | Europe
|       | Street Gangs                                                | Infogrames             | Nintendo Entertainment System | 1991 | Europe
|       | Sullivan Bluth Presents: Dragon's Lair                      | Elite                  | Nintendo Entertainment System | 1992 | Europe
|       | Super Adventure Quests                                      | Codemasters            | Nintendo Entertainment System | 1991 | Europe
|       | Super Mario Bros.                                           | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Super Mario Bros. / Tetris / Nintendo World Cup             | Nintendo               | Nintendo Entertainment System | 1988 | Europe
|       | Super Mario Bros. 2                                         | Nintendo               | Nintendo Entertainment System | 1989 | Europe
|       | Super Mario Bros. 3                                         | Nintendo               | Nintendo Entertainment System | 1991 | Europe
|       | Super Spike V'Ball                                          | Nintendo               | Nintendo Entertainment System | 1992 | Europe
|       | Super Sports Challenge                                      | Codemasters            | Nintendo Entertainment System | 1992 | Europe
|       | Super Spy Hunter                                            | SunSoft                | Nintendo Entertainment System | 1993 | Europe
|       | Super Turrican                                              | Imagineer              | Nintendo Entertainment System | 1993 | Europe
|       | Swamp Thing                                                 | THQ                    | Nintendo Entertainment System | 1992 | Europe
|       | Sword Master                                                | Activision             | Nintendo Entertainment System | 1993 | Europe
|       | Swords and Serpents                                         | Acclaim                | Nintendo Entertainment System | 1993 | Europe
|       | Tecmo Cup Football Game                                     | Tecmo                  | Nintendo Entertainment System | 1992 | Europe
|       | Tecmo World Cup Soccer                                      | Tecmo                  | Nintendo Entertainment System | 1991 | Europe
|       | Tecmo World Wrestling                                       | Tecmo                  | Nintendo Entertainment System | 1990 | Europe
|       | Teenage Mutant Hero Turtles                                 | Palcom                 | Nintendo Entertainment System | 1990 | Europe
|       | Teenage Mutant Hero Turtles II: The Arcade Game             | Konami                 | Nintendo Entertainment System | 1991 | Europe
|       | Teenage Mutant Hero Turtles: Tournament Fighters            | Konami                 | Nintendo Entertainment System | 1994 | Europe
|       | Tennis                                                      | Nintendo               | Nintendo Entertainment System | 1986 | Europe
|       | Terminator 2: Judgment Day                                  | LJN Ltd.               | Nintendo Entertainment System | 1992 | Europe
|       | Terminator, The                                             | Mindscape              | Nintendo Entertainment System | 1993 | Europe
