|       | Hatsune Miku and Future Stars: Project Mirai                                                                                 | Sega                                   | Nintendo 3DS | 2012 | Japan
|       | Hatsune Miku: Project Mirai 2                                                                                                | Sega                                   | Nintendo 3DS | 2015 | Japan
|       | Heavy Fire: The Chosen Few                                                                                                   | Hamster                                | Nintendo 3DS | 2011 | Japan
|       | Hello Kitty to Issho! Block Crash Z                                                                                          | Dorart                                 | Nintendo 3DS | 2012 | Japan
|       | Hello Kitty to Mahou no Apron: Rhythm Cooking                                                                                | Examu                                  | Nintendo 3DS | 2013 | Japan
|       | Hello Kitty to Sanrio Characters: World Rock Tour                                                                            | Bergsala-Lightweight                   | Nintendo 3DS | 2015 | Japan
|       | Hello Kitty to Sekai Ryokou! Iron na Kuni e Odekake Shimasho                                                                 | Compile Heart                          | Nintendo 3DS | 2013 | Japan
|       | Hero Bank                                                                                                                    | Sega                                   | Nintendo 3DS | 2014 | Japan
|       | Hero Bank 2                                                                                                                  | Sega                                   | Nintendo 3DS | 2014 | Japan
|       | Hey! Pikmin                                                                                                                  | Nintendo                               | Nintendo 3DS | 2017 | Japan
|       | High School DxD                                                                                                              | Kadokawa                               | Nintendo 3DS | 2013 | Japan
|       | Hime Girl Paradise: Mechikawa! Agemori Sensation!                                                                            | Nippon Columbia                        | Nintendo 3DS | 2012 | Japan
|       | HomeTown Story                                                                                                               | Natsume                                | Nintendo 3DS | 2013 | Japan
|       | Hoppe-Chan: Punitto Shibotte Daibouken!                                                                                      | Nippon Columbia                        | Nintendo 3DS | 2015 | Japan
|       | Hoppechan Minna de Odekake! Wakuwaku Hoppe Land!!                                                                            | Nippon Columbia                        | Nintendo 3DS | 2014 | Japan
|       | Hoppechan: Tsukutte! Asonde! Punipuni Town!!                                                                                 | Nippon Columbia                        | Nintendo 3DS | 2013 | Japan
|       | Hoshi no Kirby: Robobo Planet                                                                                                | Nintendo                               | Nintendo 3DS | 2016 | Japan
|       | Hoshi no Kirby: Triple Deluxe                                                                                                | Nintendo                               | Nintendo 3DS | 2014 | Japan
|       | Hyakumasu Dora-San Nobita no Time Battle                                                                                     | Shogakukan                             | Nintendo 3DS | 2016 | Japan
|       | Ikachan                                                                                                                      | Pikii                                  | Nintendo 3DS | 2016 | Japan
|       | Inazuma Eleven 1-2-3: Endou Mamoru Densetsu                                                                                  | Level 5                                | Nintendo 3DS | 2012 | Japan
