|       | South Park Rally                                 | Acclaim                 | Nintendo 64 | 2000 | North America
|       | South Park: Chef's Luv Shack                     | Acclaim                 | Nintendo 64 | 1999 | North America
|       | Space Invaders                                   | Activision              | Nintendo 64 | 1999 | North America
|       | Space Station Silicon Valley                     | Take-Two Interactive    | Nintendo 64 | 1998 | North America
|       | Spider-Man                                       | Activision              | Nintendo 64 | 2000 | North America
|       | Star Fox 64                                      | Nintendo                | Nintendo 64 | 1997 | North America
|       | Star Soldier: Vanishing Earth                    | Electro Brain           | Nintendo 64 | 1998 | North America
|       | Star Wars Episode I: Racer                       | LucasArts               | Nintendo 64 | 1999 | North America
|       | Star Wars: Episode I Battle for Naboo            | LucasArts               | Nintendo 64 | 2000 | North America
|       | Star Wars: Rogue Squadron                        | LucasArts               | Nintendo 64 | 1998 | North America
|       | Star Wars: Shadows of the Empire                 | Nintendo                | Nintendo 64 | 1996 | North America
|       | Starcraft 64                                     | Nintendo                | Nintendo 64 | 2000 | North America
|       | Starshot: Space Circus Fever                     | Infogrames              | Nintendo 64 | 1999 | North America
|       | Stunt Racer 64                                   | Midway                  | Nintendo 64 | 2000 | North America
|       | Super Bowling                                    | UFO Interactive         | Nintendo 64 | 2001 | North America
|       | Super Mario 64                                   | Nintendo                | Nintendo 64 | 1996 | North America
|       | Super Smash Bros.                                | Nintendo                | Nintendo 64 | 1999 | North America
|       | Supercross 2000                                  | Electronic Arts         | Nintendo 64 | 1999 | North America
|       | Superman                                         | Titus Software          | Nintendo 64 | 1999 | North America
|       | Tetrisphere                                      | Nintendo                | Nintendo 64 | 1997 | North America
|       | Tigger's Honey Hunt                              | NewKidCo                | Nintendo 64 | 2000 | North America
|       | Tom and Jerry in Fists of Furry                  | NewKidCo                | Nintendo 64 | 2000 | North America
|       | Tom Clancy's Rainbow Six                         | Red Storm Entertainment | Nintendo 64 | 1999 | North America
|       | Tonic Trouble                                    | Ubisoft                 | Nintendo 64 | 1999 | North America
|       | Tony Hawk's Pro Skater                           | Activision              | Nintendo 64 | 2000 | North America
|       | Tony Hawk's Pro Skater 2                         | Activision              | Nintendo 64 | 2001 | North America
|       | Tony Hawk's Pro Skater 3                         | Activision              | Nintendo 64 | 2002 | North America
|       | Top Gear Hyper-Bike                              | Kemco                   | Nintendo 64 | 2000 | North America
|       | Top Gear Overdrive                               | Kemco                   | Nintendo 64 | 1998 | North America
|       | Top Gear Rally                                   | Kemco                   | Nintendo 64 | 1997 | North America
|       | Top Gear Rally 2                                 | Kemco                   | Nintendo 64 | 1999 | North America
|       | Toy Story 2: Buzz Lightyear to the Rescue!       | Activision              | Nintendo 64 | 1999 | North America
|       | Transformers: Beast Wars Transmetals             | Bam Entertainment       | Nintendo 64 | 2000 | North America
|       | Triple Play 2000                                 | EA Sports               | Nintendo 64 | 1999 | North America
|       | Turok 2: Seeds of Evil                           | Acclaim                 | Nintendo 64 | 1998 | North America
|       | Turok 3: Shadow of Oblivion                      | Acclaim                 | Nintendo 64 | 2000 | North America
|       | Turok: Dinosaur Hunter                           | Acclaim                 | Nintendo 64 | 1997 | North America
|       | Turok: Rage Wars                                 | Acclaim                 | Nintendo 64 | 1999 | North America
