|       | Heavy Barrel                                                | Data East                      | Nintendo Entertainment System | 1990 | North America
|       | Heavy Shreddin'                                             | Parker Bros.                   | Nintendo Entertainment System | 1990 | North America
|       | High Speed                                                  | Tradewest                      | Nintendo Entertainment System | 1991 | North America
|       | Hogan's Alley                                               | Nintendo                       | Nintendo Entertainment System | 1985 | North America
|       | Hollywood Squares                                           | GameTek                        | Nintendo Entertainment System | 1989 | North America
|       | Home Alone                                                  | THQ                            | Nintendo Entertainment System | 1991 | North America
|       | Home Alone 2: Lost in New York                              | THQ                            | Nintendo Entertainment System | 1992 | North America
|       | Hook                                                        | Sony Imagesoft                 | Nintendo Entertainment System | 1992 | North America
|       | Hoops                                                       | Jaleco Entertainment           | Nintendo Entertainment System | 1989 | North America
|       | Hot Slots                                                   | Panesian                       | Nintendo Entertainment System | 1991 | North America
|       | Hudson Hawk                                                 | Sony Imagesoft                 | Nintendo Entertainment System | 1992 | North America
|       | Hunt for Red October, The                                   | Hi Tech Expressions            | Nintendo Entertainment System | 1991 | North America
|       | Hydlide                                                     | FCI, Inc.                      | Nintendo Entertainment System | 1989 | North America
|       | Ice Climber                                                 | Nintendo                       | Nintendo Entertainment System | 1985 | North America
|       | Ice Hockey                                                  | Nintendo                       | Nintendo Entertainment System | 1988 | North America
|       | Ikari III: The Rescue                                       | SNK                            | Nintendo Entertainment System | 1991 | North America
|       | Ikari Warriors                                              | SNK                            | Nintendo Entertainment System | 1987 | North America
|       | Ikari Warriors II: Victory Road                             | SNK                            | Nintendo Entertainment System | 1988 | North America
|       | Image Fight                                                 | Irem                           | Nintendo Entertainment System | 1990 | North America
|       | Immortal, The                                               | Electronic Arts                | Nintendo Entertainment System | 1990 | North America
|       | Impossible Mission-II                                       | SEI                            | Nintendo Entertainment System | 1990 | North America
|       | Incredible Crash Dummies, The                               | LJN Ltd.                       | Nintendo Entertainment System | 1994 | North America
|       | Indiana Jones and the Last Crusade                          | Taito Corporation              | Nintendo Entertainment System | 1991 | North America
