|       | Dance Dance Revolution: Hottest Party 3                               | Konami                                 | Nintendo Wii | 2010 | Europe
|       | Dance Dance Revolution: Hottest Party 4                               | Konami                                 | Nintendo Wii | 2011 | Europe
|       | Dance Dance Revolution: Hottest Party 5                               | Konami                                 | Nintendo Wii | 2011 | Europe
|       | Dance Juniors                                                         | Ubisoft                                | Nintendo Wii | 2011 | Europe
|       | Dance on Broadway                                                     | Ubisoft                                | Nintendo Wii | 2010 | Europe
|       | Dance Party: Club Hits                                                | Nordic Games Publishing                | Nintendo Wii | 2009 | Europe
|       | Dance Party: Pop Hits                                                 | Nordic Games Publishing                | Nintendo Wii | 2009 | Europe
|       | Dance! It's Your Stage                                                | dtp Young Entertainment AG             | Nintendo Wii | 2011 | Europe
|       | DanceDanceRevolution II                                               | Konami                                 | Nintendo Wii | 2017 | Europe
|       | Dancing on Ice                                                        | Ghostlight                             | Nintendo Wii | 2010 | Europe
|       | Dancing Stage: Hottest Party                                          | Konami                                 | Nintendo Wii | 2008 | Europe
|       | Dave Mirra BMX Challenge                                              | 505 Games                              | Nintendo Wii | 2007 | Europe
|       | de Blob                                                               | THQ                                    | Nintendo Wii | 2008 | Europe
|       | de Blob 2                                                             | THQ                                    | Nintendo Wii | 2011 | Europe
|       | Dead Rising: Chop Till You Drop                                       | Capcom                                 | Nintendo Wii | 2009 | Europe
|       | Dead Space: Extraction                                                | Electronic Arts                        | Nintendo Wii | 2009 | Europe
|       | Deadly Creatures                                                      | THQ                                    | Nintendo Wii | 2009 | Europe
|       | Deal or No Deal: The Banker is Back!                                  | Mindscape                              | Nintendo Wii | 2008 | Europe
|       | Death Jr.: Root of Evil                                               | Eidos Interactive                      | Nintendo Wii | 2008 | Europe
|       | Deepak Chopra's Leela                                                 | THQ                                    | Nintendo Wii | 2011 | Europe
|       | Def Jam Rapstar                                                       | Konami                                 | Nintendo Wii | 2010 | Europe
|       | Defendin' DePenguin                                                   | Zushi Games Ltd                        | Nintendo Wii | 2010 | Europe
|       | Despicable Me                                                         | D3Publisher                            | Nintendo Wii | 2010 | Europe
|       | Despicable Me                                                         | D3Publisher                            | Nintendo Wii | 2010 | Europe
|       | Destiny of Zorro, The                                                 | 505 Games                              | Nintendo Wii | 2008 | Europe
|       | Destroy All Humans! Big Willy Unleashed                               | THQ                                    | Nintendo Wii | 2008 | Europe
|       | Detective Conan: Die Mirapolis-Ermittlung                             | Electronic Arts                        | Nintendo Wii | 2009 | Europe
|       | Dewy's Adventure                                                      | Konami                                 | Nintendo Wii | 2007 | Europe
|       | Diabolik: The Original Sin                                            | Black Bean Games                       | Nintendo Wii | 2009 | Europe
|       | Dino Strike                                                           | Funbox Media                           | Nintendo Wii | 2011 | Europe
|       | Disaster: Day of Crisis                                               | Nintendo                               | Nintendo Wii | 2008 | Europe
|       | Disney Channel All Star Party                                         | Disney Interactive Studios             | Nintendo Wii | 2010 | Europe
|       | Disney Epic Mickey                                                    | Disney Interactive Studios             | Nintendo Wii | 2010 | Europe
|       | Disney Epic Mickey & Disney Epic Mickey 2: The Power of Two           | Disney Interactive Studios             | Nintendo Wii | 2012 | Europe
|       | Disney Epic Mickey 2: The Power of Two                                | Disney Interactive Studios             | Nintendo Wii | 2012 | Europe
|       | Disney Hannah Montana: Spotlight World Tour                           | Disney Interactive Studios             | Nintendo Wii | 2008 | Europe
|       | Disney Infinity                                                       | Disney Interactive Studios             | Nintendo Wii | 2013 | Europe
|       | Disney Planes                                                         | Disney Interactive Studios             | Nintendo Wii | 2013 | Europe
|       | Disney Planes: Fire & Rescue                                          | Little Orbit                           | Nintendo Wii | 2014 | Europe
|       | Disney Princess: Enchanted Journey                                    | Disney Interactive Studios             | Nintendo Wii | 2008 | Europe
