|       | Halo 2 Multiplayer Map Pack                                               | Microsoft Game Studios                 | Xbox   | 2005 | North America
|       | Halo Triple Pack                                                          | Microsoft Game Studios                 | Xbox   | 2005 | North America
|       | Halo: Combat Evolved                                                      | Microsoft Game Studios                 | Xbox   | 2001 | North America
|       | Harry Potter and the Chamber of Secrets                                   | EA Games                               | Xbox   | 2002 | North America
|       | Harry Potter and the Goblet of Fire                                       | Electronic Arts                        | Xbox   | 2005 | North America
|       | Harry Potter and the Prisoner of Azkaban                                  | EA Games                               | Xbox   | 2004 | North America
|       | Harry Potter and the Sorcerer's Stone                                     | EA Games                               | Xbox   | 2003 | North America
|       | Harry Potter: Quidditch World Cup                                         | Electronic Arts                        | Xbox   | 2003 | North America
|       | Haunted Mansion, The                                                      | TDK Mediactive                         | Xbox   | 2003 | North America
|       | Headhunter: Redemption                                                    | Sega                                   | Xbox   | 2004 | North America
|       | Heroes of the Pacific                                                     | Ubisoft                                | Xbox   | 2005 | North America
|       | High Heat Major League Baseball 2004                                      | 3DO                                    | Xbox   | 2003 | North America
|       | High Rollers Casino                                                       | Bethesda Softworks                     | Xbox   | 2004 | North America
|       | Hitman 2: Silent Assassin                                                 | Eidos Interactive                      | Xbox   | 2002 | North America
|       | Hitman: Blood Money                                                       | Eidos Interactive                      | Xbox   | 2006 | North America
|       | Hitman: Contracts                                                         | Eidos Interactive                      | Xbox   | 2004 | North America
|       | Hobbit, The                                                               | Sierra Entertainment                   | Xbox   | 2003 | North America
|       | Hot Wheels: Stunt Track Challenge                                         | THQ                                    | Xbox   | 2004 | North America
|       | House of the Dead III, The                                                | Sega                                   | Xbox   | 2002 | North America
|       | Hulk                                                                      | Universal Interactive                  | Xbox   | 2003 | North America
|       | Hummer Badlands                                                           | 2K Games                               | Xbox   | 2006 | North America
|       | Hunter: The Reckoning                                                     | Interplay                              | Xbox   | 2002 | North America
|       | Hunter: The Reckoning Redeemer                                            | VU Games                               | Xbox   | 2003 | North America
|       | Hustle: Detroit Streets, The                                              | Activision Value                       | Xbox   | 2006 | North America
|       | I-Ninja                                                                   | Namco                                  | Xbox   | 2003 | North America
|       | Ice Age 2: The Meltdown                                                   | Vivendi Games                          | Xbox   | 2006 | North America
