|       | Valhalla Knights 3                                                     | Xseed Games                            | PlayStation Vita | 2013 | North America
|       | Valkyrie Drive: Bhikkhuni                                              | PQube                                  | PlayStation Vita | 2016 | North America
|       | Velocity 2K: Critical Mass Edition                                     | FuturLab                               | PlayStation Vita | 2017 | North America
|       | Virtua Tennis 4: World Tour Edition                                    | Sega                                   | PlayStation Vita | 2012 | North America
|       | Volume                                                                 | Limited Run Games                      | PlayStation Vita | 2016 | North America
|       | Walking Dead: A Telltale Games Series - The Complete First Season, The | Telltale Games                         | PlayStation Vita | 2013 | North America
|       | Walking Dead: A Telltale Games Series - The Complete First Season, The | Telltale Games                         | PlayStation Vita | 2013 | North America
|       | Walking Dead: Season Two - A Telltale Games Series, The                | Telltale Games                         | PlayStation Vita | 2014 | North America
|       | Walking Dead: Season Two - A Telltale Games Series, The                | Telltale Games                         | PlayStation Vita | 2014 | North America
|       | WipEout 2048                                                           | SCEA                                   | PlayStation Vita | 2012 | North America
|       | Wolf Among Us, The                                                     | Telltale Games                         | PlayStation Vita | 2014 | North America
|       | World of Final Fantasy                                                 | Square Enix                            | PlayStation Vita | 2016 | North America
|       | WRC 7                                                                  | Maximum Games                          | PlayStation Vita | 2017 | North America
|       | XBLAZE Code: Embryo                                                    | Aksys Games                            | PlayStation Vita | 2014 | North America
|       | XBLAZE: Lost Memories                                                  | Aksys Games                            | PlayStation Vita | 2015 | North America
|       | Xeodrifter                                                             | Limited Run Games                      | PlayStation Vita | 2016 | North America
|       | Yomawari: Midnight Shadows                                             | NIS America                            | PlayStation Vita | 2017 | North America
|       | Yomawari: Night Alone                                                  | NIS America                            | PlayStation Vita | 2016 | North America
|       | Ys VIII: Lacrimosa of DANA                                             | NIS America                            | PlayStation Vita | 2017 | North America
|       | Ys: Memories of Celceta                                                | Xseed Games                            | PlayStation Vita | 2013 | North America
|       | Zero Escape: The Nonary Games                                          | Aksys Games                            | PlayStation Vita | 2017 | North America
|       | Zero Escape: Virtue's Last Reward                                      | Aksys Games                            | PlayStation Vita | 2012 | North America
|       | Zero Escape: Zero Time Dilemma                                         | Aksys Games                            | PlayStation Vita | 2016 | North America
