|       | Fire ProWrestling A                                                                               | Spike                        | Game Boy Advance | 2001 | Japan
|       | Formation Soccer 2002                                                                             | Spike                        | Game Boy Advance | 2002 | Japan
|       | Frogger: Kodaibunmei no Nazo                                                                      | Konami                       | Game Boy Advance | 2004 | Japan
|       | Frogger: Mahou no Kuni no Daibouken                                                               | Konami                       | Game Boy Advance | 2003 | Japan
|       | From TV animation - One Piece: Mezase! King of Berry                                              | Banpresto                    | Game Boy Advance | 2003 | Japan
|       | From TV animation - One Piece: Nanatsu Shima no Daihihou                                          | Banpresto                    | Game Boy Advance | 2002 | Japan
|       | Frontier Stories                                                                                  | Marvelous Entertainment      | Game Boy Advance | 2005 | Japan
|       | Fruits Mura no Doubutsu Tachi                                                                     | TDK Core                     | Game Boy Advance | 2004 | Japan
|       | Fushigi no Kuni no Alice                                                                          | Global A                     | Game Boy Advance | 2003 | Japan
|       | Fushigi no Kuni no Angelique                                                                      | Koei                         | Game Boy Advance | 2002 | Japan
|       | Futari wa Precure Max Heart: Maji? Maji!? Fight de IN Janai                                       | Bandai                       | Game Boy Advance | 2005 | Japan
|       | Futari wa Precure: Arienai! Yume no Kuni wa Daimeikyuu                                            | Bandai                       | Game Boy Advance | 2004 | Japan
|       | Gachasute! Dino Device 2: Dragon                                                                  | Rocket Company               | Game Boy Advance | 2003 | Japan
|       | Gachasute! Dino Device 2: Phoenix                                                                 | Rocket Company               | Game Boy Advance | 2003 | Japan
|       | Gachasute! Dino Device Blue                                                                       | Smilesoft                    | Game Boy Advance | 2002 | Japan
|       | Gachasute! Dino Device Red                                                                        | Smilesoft                    | Game Boy Advance | 2002 | Japan
|       | Gachinko Pro Yakyuu                                                                               | Now Production               | Game Boy Advance | 2002 | Japan
|       | Gakkou no Kaidan: Hyakuyoubako no Fuuin                                                           | TDK Core                     | Game Boy Advance | 2004 | Japan
|       | Gakkou o Tsukurou!! Advance                                                                       | Victor Interactive Software  | Game Boy Advance | 2001 | Japan
|       | Gakuen Alice: DokiDoki Fushigi Taiken                                                             | Kids Station                 | Game Boy Advance | 2004 | Japan
|       | Gakuen Senki Muryou                                                                               | MTO                          | Game Boy Advance | 2003 | Japan
|       | Galaxy Angel Game Boy Advance: Moridakusan Tenshi no Full Course Okawari Jiyuu                    | Marvelous Entertainment      | Game Boy Advance | 2002 | Japan
