|       | Kaseki Monster: Spectrobes                                                               | Disney Interactive Studios | Nintendo Wii | 2010 | Japan
|       | Katekyoo Hitman Reborn! Dream Hyper Battle! Wii                                          | Marvelous Entertainment    | Nintendo Wii | 2008 | Japan
|       | Katekyoo Hitman Reborn! Kindan no Yami no Delta                                          | Marvelous Entertainment    | Nintendo Wii | 2008 | Japan
|       | Kaze no Klonoa: Door to Phantomile                                                       | Bandai Namco Games         | Nintendo Wii | 2008 | Japan
|       | Keito no Kirby                                                                           | Nintendo                   | Nintendo Wii | 2010 | Japan
|       | Kekkaishi: Kokubourou no Kage                                                            | Bandai Namco Games         | Nintendo Wii | 2007 | Japan
|       | Kidou Senshi Gundam: MS Sensen 0079                                                      | Bandai Namco Games         | Nintendo Wii | 2007 | Japan
|       | Kiki Trick                                                                               | Nintendo                   | Nintendo Wii | 2012 | Japan
|       | Kororinpa                                                                                | Hudson                     | Nintendo Wii | 2006 | Japan
|       | Kororinpa 2: Anthony to Kiniro Himawari no Tane                                          | Konami                     | Nintendo Wii | 2009 | Japan
|       | Kotoba no Puzzle: Mojipittan Wii Deluxe                                                  | Bandai Namco Games         | Nintendo Wii | 2008 | Japan
|       | Kung Fu Panda                                                                            | Activision                 | Nintendo Wii | 2008 | Japan
|       | Kyoufu Taikan: Juon                                                                      | AQ Interactive             | Nintendo Wii | 2009 | Japan
|       | Last Story, The                                                                          | Nintendo                   | Nintendo Wii | 2011 | Japan
|       | LEGO Star Wars: The Complete Saga                                                        | Activision                 | Nintendo Wii | 2008 | Japan
|       | Let's TAP                                                                                | Sega                       | Nintendo Wii | 2008 | Japan
|       | Lewis to Mirai Dorobou                                                                   | Disney Interactive Studios | Nintendo Wii | 2007 | Japan
|       | Link no Bowgun Training                                                                  | Nintendo                   | Nintendo Wii | 2008 | Japan
|       | Machi e Ikouyo: Doubutsu no Mori                                                         | Nintendo                   | Nintendo Wii | 2008 | Japan
|       | MadWorld                                                                                 | Spike                      | Nintendo Wii | 2010 | Japan
|       | Mahjong Kakutou Club Wii: Wi-Fi Taiou                                                    | Konami                     | Nintendo Wii | 2009 | Japan
|       | Mahjong Taikai Wii                                                                       | Koei                       | Nintendo Wii | 2007 | Japan
|       | Mahou Sensei Negima!? Neo-Pactio Fight!!                                                 | Marvelous Entertainment    | Nintendo Wii | 2007 | Japan
|       | Major Dream: Major Wii Nagero! Gyroball!!                                                | Takara Tomy                | Nintendo Wii | 2008 | Japan
|       | Major Dream: Major Wii Perfect Closer                                                    | Takara Tomy                | Nintendo Wii | 2008 | Japan
|       | Mario & Sonic at Bejing Olympics                                                         | Nintendo                   | Nintendo Wii | 2007 | Japan
|       | Mario & Sonic at London Olympics                                                         | Nintendo                   | Nintendo Wii | 2011 | Japan
|       | Mario & Sonic at Vancouver Olympics                                                      | Nintendo                   | Nintendo Wii | 2009 | Japan
|       | Mario Kart Wii                                                                           | Nintendo                   | Nintendo Wii | 2008 | Japan
|       | Mario Party 8                                                                            | Nintendo                   | Nintendo Wii | 2007 | Japan
|       | Mario Party 9                                                                            | Nintendo                   | Nintendo Wii | 2012 | Japan
|       | Mario Sports Mix                                                                         | Nintendo                   | Nintendo Wii | 2010 | Japan
|       | Mario Strikers Charged                                                                   | Nintendo                   | Nintendo Wii | 2007 | Japan
|       | Mario Tennis GC                                                                          | Nintendo                   | Nintendo Wii | 2009 | Japan
|       | Marvel: Ultimate Alliance                                                                | Interchannel               | Nintendo Wii | 2007 | Japan
|       | Medal of Honor Heroes 2                                                                  | Electronic Arts            | Nintendo Wii | 2008 | Japan
|       | Meitantei Conan: Tsuioku no Mirage                                                       | Marvelous Entertainment    | Nintendo Wii | 2007 | Japan
|       | Meja-Maji March                                                                          | Square Enix                | Nintendo Wii | 2009 | Japan
|       | Metal Fight Beyblade: Gachinko Stadium                                                   | Hudson                     | Nintendo Wii | 2009 | Japan
|       | Metal Slug Complete                                                                      | SNK Playmore               | Nintendo Wii | 2007 | Japan
|       | Metroid Prime                                                                            | Nintendo                   | Nintendo Wii | 2009 | Japan
|       | Metroid Prime 2: Dark Echoes                                                             | Nintendo                   | Nintendo Wii | 2009 | Japan
|       | Metroid Prime 3: Corruption                                                              | Nintendo                   | Nintendo Wii | 2008 | Japan
|       | Metroid: Other M                                                                         | Nintendo                   | Nintendo Wii | 2010 | Japan
|       | Mezase! Tsuri Master: Sekai ni Challenge! Hen                                            | Hudson                     | Nintendo Wii | 2008 | Japan
|       | Mezase!! Tsuri Master                                                                    | Hudson                     | Nintendo Wii | 2007 | Japan
|       | Miburi & Teburi                                                                          | Sega                       | Nintendo Wii | 2008 | Japan
|       | Michael Jackson The Experience                                                           | Ubisoft                    | Nintendo Wii | 2011 | Japan
|       | Milestone Shooting Collection 2                                                          | MileStone Inc.             | Nintendo Wii | 2010 | Japan
|       | Milestone Shooting Collection: Karous Wii                                                | MileStone Inc.             | Nintendo Wii | 2008 | Japan
|       | Minna de Asobou! Namco Carnival                                                          | Bandai Namco Games         | Nintendo Wii | 2007 | Japan
|       | Minna de Bouken! Family Trainer                                                          | Bandai Namco Games         | Nintendo Wii | 2010 | Japan
|       | Minna ga Shuyaku no NHK Kouhaku Quiz Gassen                                              | Nintendo                   | Nintendo Wii | 2009 | Japan
|       | Minna no Joushiki Ryoku TV                                                               | Nintendo                   | Nintendo Wii | 2008 | Japan
|       | Minna no Rhythm Tengoku                                                                  | Nintendo                   | Nintendo Wii | 2011 | Japan
|       | Momotarou Dentetsu 16                                                                    | Hudson                     | Nintendo Wii | 2007 | Japan
|       | Momotarou Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki                       | Hudson                     | Nintendo Wii | 2009 | Japan
|       | Momu-chan Diet Wii: Figurobics by Chon Dayon                                             | IE Institute               | Nintendo Wii | 2010 | Japan
|       | Monopoly                                                                                 | Electronic Arts            | Nintendo Wii | 2009 | Japan
|       | Monster 4X4: World Circuit                                                               | Ubisoft                    | Nintendo Wii | 2006 | Japan
|       | Monster Hunter 3                                                                         | Capcom                     | Nintendo Wii | 2009 | Japan
|       | Monster Hunter G                                                                         | Capcom                     | Nintendo Wii | 2009 | Japan
|       | Narnia Kuni Monogatari Dai-2-Shou: Caspian Ouji no Tsunobue                              | Disney Interactive Studios | Nintendo Wii | 2008 | Japan
|       | Naruto Shippuden Gekitou Ninja Taisen EX2                                                | Takara Tomy                | Nintendo Wii | 2007 | Japan
|       | Naruto Shippuden Gekitou Ninja Taisen EX3                                                | Takara Tomy                | Nintendo Wii | 2008 | Japan
|       | Naruto Shippuden: Gekitou Ninja Taisen EX                                                | Takara Tomy                | Nintendo Wii | 2007 | Japan
|       | Naruto Shippuden: Gekitou Ninja Taisen Special                                           | Takara Tomy                | Nintendo Wii | 2010 | Japan
|       | Naruto Shippuden: Ryujinki                                                               | Takara Tomy                | Nintendo Wii | 2009 | Japan
|       | Necro-Nesia                                                                              | Spike                      | Nintendo Wii | 2006 | Japan
|       | Need for Speed Carbon                                                                    | EA Games                   | Nintendo Wii | 2006 | Japan
|       | Need for Speed ProStreet                                                                 | EA Games                   | Nintendo Wii | 2008 | Japan
|       | Need for Speed Undercover                                                                | Electronic Arts            | Nintendo Wii | 2008 | Japan
|       | Need for Speed: Hot Pursuit                                                              | Electronic Arts            | Nintendo Wii | 2010 | Japan
|       | Need for Speed: Nitro                                                                    | EA Games                   | Nintendo Wii | 2009 | Japan
|       | Need for Speed: The Run                                                                  | Electronic Arts            | Nintendo Wii | 2011 | Japan
|       | New Super Mario Bros. Wii                                                                | Nintendo                   | Nintendo Wii | 2009 | Japan
|       | New Unou Kids Wii                                                                        | IE Institute               | Nintendo Wii | 2008 | Japan
|       | NiGHTS: Hoshi Furu Yoru no Monogatari                                                    | Sega                       | Nintendo Wii | 2007 | Japan
|       | Nihon Yakyuu Kikou Shounin: Batting Revolution                                           | Alpha Unit                 | Nintendo Wii | 2009 | Japan
|       | Ninja Reflex                                                                             | Electronic Arts            | Nintendo Wii | 2008 | Japan
|       | Nitrobike                                                                                | Ubisoft                    | Nintendo Wii | 2008 | Japan
|       | No More Heroes                                                                           | Marvelous Entertainment    | Nintendo Wii | 2007 | Japan
|       | No More Heroes 2: Desperate Struggle                                                     | Marvelous Entertainment    | Nintendo Wii | 2010 | Japan
|       | Nobunaga no Yabou: Kakushin with Power-Up Kit                                            | Koei                       | Nintendo Wii | 2008 | Japan
|       | Nobunaga no Yabou: Kakushin with Power-Up Kit                                            | Koei                       | Nintendo Wii | 2008 | Japan
|       | Nodame Cantabile: Dream * Orchestra                                                      | Bandai Namco Games         | Nintendo Wii | 2007 | Japan
|       | Nyanko to Mahou no Boushi                                                                | Ubisoft                    | Nintendo Wii | 2007 | Japan
