|       | Kao the Kangaroo Round 2                                            | Atari                                  | Nintendo GameCube | 2006 | North America
|       | Karaoke Revolution Party                                            | Konami                                 | Nintendo GameCube | 2005 | North America
|       | Kelly Slater's Pro Surfer                                           | Activision                             | Nintendo GameCube | 2002 | North America
|       | Killer7                                                             | Capcom                                 | Nintendo GameCube | 2005 | North America
|       | King Arthur                                                         | Konami                                 | Nintendo GameCube | 2004 | North America
|       | Kirby: Air Ride                                                     | Nintendo                               | Nintendo GameCube | 2003 | North America
|       | Knockout Kings 2003                                                 | Electronic Arts                        | Nintendo GameCube | 2002 | North America
|       | Legend of Spyro: A New Beginning, The                               | Sierra Entertainment                   | Nintendo GameCube | 2006 | North America
|       | Legend of Zelda: Collector's Edition, The                           | Nintendo                               | Nintendo GameCube | 2003 | North America
|       | Legend of Zelda: Four Swords Adventures, The                        | Nintendo                               | Nintendo GameCube | 2004 | North America
|       | Legend of Zelda: Ocarina of Time Master Quest, The                  | Nintendo                               | Nintendo GameCube | 2003 | North America
|       | Legend of Zelda: The Wind Waker / Metroid Prime, The                | Nintendo                               | Nintendo GameCube | 2005 | North America
|       | Legend of Zelda: The Wind Waker / Ocarina of Time Master Quest, The | Nintendo                               | Nintendo GameCube | 2005 | North America
|       | Legend of Zelda: The Wind Waker, The                                | Nintendo                               | Nintendo GameCube | 2003 | North America
|       | Legend of Zelda: Twilight Princess, The                             | Nintendo                               | Nintendo GameCube | 2006 | North America
|       | Legends of Wrestling                                                | Acclaim                                | Nintendo GameCube | 2002 | North America
|       | Legends of Wrestling II                                             | Acclaim                                | Nintendo GameCube | 2002 | North America
|       | LEGO Star Wars II: The Original Trilogy                             | LucasArts                              | Nintendo GameCube | 2006 | North America
|       | LEGO Star Wars: The Video Game                                      | Eidos Interactive                      | Nintendo GameCube | 2005 | North America
|       | Lemony Snicket's A Series of Unfortunate Events                     | Activision                             | Nintendo GameCube | 2004 | North America
|       | Looney Tunes: Back in Action                                        | Electronic Arts                        | Nintendo GameCube | 2003 | North America
|       | Lord of the Rings: The Return of the King, The                      | EA Games                               | Nintendo GameCube | 2003 | North America
|       | Lord of the Rings: The Third Age, The                               | EA Games                               | Nintendo GameCube | 2004 | North America
|       | Lord of the Rings: The Two Towers, The                              | EA Games                               | Nintendo GameCube | 2002 | North America
|       | Lost Kingdoms                                                       | Activision                             | Nintendo GameCube | 2002 | North America
|       | Lost Kingdoms II                                                    | Activision                             | Nintendo GameCube | 2003 | North America
|       | Lotus Challenge                                                     | Ignition Entertainment                 | Nintendo GameCube | 2004 | North America
|       | Luigi's Mansion                                                     | Nintendo                               | Nintendo GameCube | 2001 | North America
|       | Madagascar                                                          | Activision                             | Nintendo GameCube | 2005 | North America
|       | Madden NFL 06                                                       | EA Sports                              | Nintendo GameCube | 2005 | North America
|       | Madden NFL 07                                                       | EA Sports                              | Nintendo GameCube | 2006 | North America
|       | Madden NFL 08                                                       | EA Sports                              | Nintendo GameCube | 2007 | North America
|       | Madden NFL 2002                                                     | EA Sports                              | Nintendo GameCube | 2001 | North America
|       | Madden NFL 2003                                                     | EA Sports                              | Nintendo GameCube | 2002 | North America
|       | Madden NFL 2004                                                     | EA Sports                              | Nintendo GameCube | 2003 | North America
|       | Madden NFL 2005                                                     | EA Sports                              | Nintendo GameCube | 2004 | North America
|       | Major League Baseball 2K6                                           | 2K Sports                              | Nintendo GameCube | 2006 | North America
|       | Mario Golf: Toadstool Tour                                          | Nintendo                               | Nintendo GameCube | 2003 | North America
|       | Mario Kart: Double Dash!!                                           | Nintendo                               | Nintendo GameCube | 2003 | North America
|       | Mario Party 4                                                       | Nintendo                               | Nintendo GameCube | 2002 | North America
|       | Mario Party 5                                                       | Nintendo                               | Nintendo GameCube | 2003 | North America
|       | Mario Party 6                                                       | Nintendo                               | Nintendo GameCube | 2004 | North America
|       | Mario Party 7                                                       | Nintendo                               | Nintendo GameCube | 2005 | North America
|       | Mario Power Tennis                                                  | Nintendo                               | Nintendo GameCube | 2004 | North America
|       | Mario Superstar Baseball                                            | Nintendo                               | Nintendo GameCube | 2005 | North America
|       | Mark Davis Pro Bass Challenge                                       | Natsume                                | Nintendo GameCube | 2005 | North America
|       | Marvel Nemesis: Rise of the Imperfects                              | EA Games                               | Nintendo GameCube | 2005 | North America
|       | Mary-Kate and Ashley: Sweet 16 - Licensed to Drive                  | Acclaim                                | Nintendo GameCube | 2003 | North America
|       | Mat Hoffman's Pro BMX 2                                             | Activision                             | Nintendo GameCube | 2002 | North America
|       | MC Groovz Dance Craze                                               | Mad Catz                               | Nintendo GameCube | 2004 | North America
|       | Medabots: Infinity                                                  | Natsume                                | Nintendo GameCube | 2003 | North America
|       | Medal of Honor Frontline                                            | EA Games                               | Nintendo GameCube | 2002 | North America
|       | Medal of Honor: European Assault                                    | Electronic Arts                        | Nintendo GameCube | 2005 | North America
|       | Medal of Honor: Rising Sun                                          | EA Games                               | Nintendo GameCube | 2003 | North America
|       | Meet the Robinsons                                                  | Disney Interactive Studios             | Nintendo GameCube | 2007 | North America
|       | Mega Man Anniversary Collection                                     | Capcom                                 | Nintendo GameCube | 2004 | North America
|       | Mega Man Network Transmission                                       | Capcom                                 | Nintendo GameCube | 2003 | North America
|       | Mega Man X Collection                                               | Capcom                                 | Nintendo GameCube | 2006 | North America
|       | Mega Man X: Command Mission                                         | Capcom                                 | Nintendo GameCube | 2004 | North America
|       | Men in Black II: Alien Escape                                       | Atari                                  | Nintendo GameCube | 2003 | North America
|       | Metal Arms: Glitch in the System                                    | VU Games                               | Nintendo GameCube | 2003 | North America
