|       | Kingyo Chuuihou! 2 Gyopichan o Sagase!                               | B-AI                         | Game Boy | 1992 | Japan
|       | Kingyo Chuuihou! Wapiko no Waku Waku Stamp Rally!                    | Yutaka                       | Game Boy | 1991 | Japan
|       | Kininkou Maroku  Oni                                                 | Banpresto                    | Game Boy | 1990 | Japan
|       | Kinnikuman: The Dream Match                                          | Yutaka                       | Game Boy | 1992 | Japan
|       | Kirby no Block Ball                                                  | Nintendo                     | Game Boy | 1995 | Japan
|       | Kirby no Kirakira Kids                                               | Nintendo                     | Game Boy | 1997 | Japan
|       | Kirby no Pinball                                                     | Nintendo                     | Game Boy | 1993 | Japan
|       | Kitchen Panic                                                        | Coconuts Japan               | Game Boy | 1991 | Japan
|       | Kiteretsu Daihyakka: Bouken Ooedo Juraki                             | Video System                 | Game Boy | 1994 | Japan
|       | Kizuchida Quiz da Gen-San Da!                                        | Irem                         | Game Boy | 1992 | Japan
|       | Klax                                                                 | Hudson                       | Game Boy | 1990 | Japan
|       | Knight Quest                                                         | Taito Corporation            | Game Boy | 1991 | Japan
|       | Koi Wa Kakehiki                                                      | Pony Canyon                  | Game Boy | 1991 | Japan
|       | Konami GB Collection Vol. 1                                          | Konami                       | Game Boy | 1997 | Japan
|       | Konami GB Collection Vol. 2                                          | Konami                       | Game Boy | 1997 | Japan
|       | Konami GB Collection Vol. 3                                          | Konami                       | Game Boy | 1998 | Japan
|       | Konami GB Collection Vol. 4                                          | Konami                       | Game Boy | 1998 | Japan
|       | Konamic Basket                                                       | Konami                       | Game Boy | 1992 | Japan
|       | Konamic Golf                                                         | Konami                       | Game Boy | 1991 | Japan
|       | Konamic Ice Hockey                                                   | Konami                       | Game Boy | 1992 | Japan
|       | Konamic Sports in Barcelona                                          | Konami                       | Game Boy | 1992 | Japan
|       | Konchuu Hakase                                                       | J-Wing                       | Game Boy | 1998 | Japan
|       | Koro Dice                                                            | King Records                 | Game Boy | 1990 | Japan
|       | Koukiatsu Boy                                                        | Konami                       | Game Boy | 1998 | Japan
|       | Koukou Nyuushideru Jun: Chuugaku Eijukugo 350                        | Imagineer                    | Game Boy | 1997 | Japan
|       | Koukou Nyuushideru Jun: Chuugaku Eitango 1700                        | Imagineer                    | Game Boy | 1997 | Japan
|       | Koukou Nyuushideru Jun: Kanji Mondai no Seifuku                      | Imagineer                    | Game Boy | 1997 | Japan
|       | Koukou Nyuushideru Jun: Rekishi Nendai Anki Point 240                | Imagineer                    | Game Boy | 1997 | Japan
|       | Koukou Nyuushideru Jun: Rika Anki Point 250                          | Imagineer                    | Game Boy | 1997 | Japan
|       | Krusty World                                                         | Acclaim Japan                | Game Boy | 1994 | Japan
|       | Kuma no Puutarou: Takara Sagashi da Ooiri Game Battle!               | Takara                       | Game Boy | 1996 | Japan
|       | Kuusou Kagaku Sekai Gulliver Boy: Kuusou Kagaku Puzzle - Puritto Pon | Bandai                       | Game Boy | 1995 | Japan
