|       | Guilty Gear Isuka                                                    | 505 Game Street              | Xbox   | 2006 | Europe
|       | Guilty Gear X2 #Reload                                               | Zoo Digital Publishing       | Xbox   | 2004 | Europe
|       | Gun                                                                  | Activision                   | Xbox   | 2005 | Europe
|       | Gun Metal                                                            | Rage Software                | Xbox   | 2002 | Europe
|       | GunGriffon: Allied Strike                                            | Microsoft Game Studios       | Xbox   | 2005 | Europe
|       | GunValkyrie                                                          | Sega                         | Xbox   | 2002 | Europe
|       | Half-Life 2                                                          | Electronic Arts              | Xbox   | 2005 | Europe
|       | Halo 2                                                               | Microsoft Game Studios       | Xbox   | 2004 | Europe
|       | Halo 2 Multiplayer Map Pack                                          | Microsoft Game Studios       | Xbox   | 2005 | Europe
|       | Halo: Combat Evolved                                                 | Microsoft Game Studios       | Xbox   | 2002 | Europe
|       | Halo: Triple Pack                                                    | Microsoft Game Studios       | Xbox   | 2005 | Europe
|       | Harry Potter and the Chamber of Secrets                              | Electronic Arts              | Xbox   | 2002 | Europe
|       | Harry Potter and the Goblet of Fire                                  | Electronic Arts              | Xbox   | 2005 | Europe
|       | Harry Potter and the Philosopher's Stone                             | Electronic Arts              | Xbox   | 2003 | Europe
|       | Harry Potter and the Prisoner of Azkaban                             | EA Games                     | Xbox   | 2004 | Europe
|       | Harry Potter: Quidditch World Cup                                    | Electronic Arts              | Xbox   | 2003 | Europe
|       | Headhunter: Redemption                                               | Sega                         | Xbox   | 2004 | Europe
|       | Hello Kitty: Roller Rescue                                           | Empire Interactive           | Xbox   | 2005 | Europe
|       | Heroes of the Pacific                                                | Codemasters                  | Xbox   | 2005 | Europe
|       | Hitman 2: Silent Assassin                                            | Eidos Interactive            | Xbox   | 2002 | Europe
|       | Hitman: Blood Money                                                  | Eidos Interactive            | Xbox   | 2006 | Europe
|       | Hitman: Contracts                                                    | Eidos Interactive            | Xbox   | 2004 | Europe
|       | Hot Wheels: Stunt Track Challenge                                    | THQ                          | Xbox   | 2004 | Europe
|       | House of the Dead III, The                                           | Sega                         | Xbox   | 2003 | Europe
|       | Hulk                                                                 | Universal Interactive        | Xbox   | 2003 | Europe
|       | Hunter: The Reckoning                                                | Virgin Interactive           | Xbox   | 2002 | Europe
|       | Hunter: The Reckoning Redeemer                                       | Interplay                    | Xbox   | 2003 | Europe
|       | Ice Age 2: The Meltdown                                              | VU Games                     | Xbox   | 2006 | Europe
|       | Incredible Hulk: Ultimate Destruction, The                           | VU Games                     | Xbox   | 2005 | Europe
|       | Incredibles, The                                                     | THQ                          | Xbox   | 2004 | Europe
|       | Incredibles: Rise of the Underminer, The                             | THQ                          | Xbox   | 2005 | Europe
|       | Indiana Jones and the Emperor's Tomb                                 | LucasArts                    | Xbox   | 2003 | Europe
|       | IndyCar Series                                                       | Codemasters                  | Xbox   | 2003 | Europe
|       | IndyCar Series 2005                                                  | Codemasters                  | Xbox   | 2004 | Europe
|       | International Superstar Soccer 2                                     | Konami                       | Xbox   | 2002 | Europe
|       | Italian Job, The                                                     | Eidos Interactive            | Xbox   | 2003 | Europe
|       | Jacked                                                               | Empire Interactive           | Xbox   | 2006 | Europe
|       | Jade Empire                                                          | Microsoft Game Studios       | Xbox   | 2005 | Europe
|       | James Bond 007: Agent Under Fire                                     | Electronic Arts              | Xbox   | 2002 | Europe
|       | James Bond 007: Quitte ou Double                                     | EA Games                     | Xbox   | 2004 | Europe
|       | James Cameron's Dark Angel                                           | Sierra Entertainment         | Xbox   | 2003 | Europe
|       | Jaws Unleashed                                                       | Majesco                      | Xbox   | 2006 | Europe
|       | Jet Set Radio Future                                                 | Sega                         | Xbox   | 2002 | Europe
