|       | Dante's Inferno                                                                  | Electronic Arts                        | Xbox 360 | 2010 | Europe
|       | DARK                                                                             | Kalypso                                | Xbox 360 | 2013 | Europe
|       | Dark Messiah of Might and Magic: Elements                                        | Ubisoft                                | Xbox 360 | 2008 | Europe
|       | Dark Sector                                                                      | D3Publisher                            | Xbox 360 | 2008 | Europe
|       | Dark Souls                                                                       | Namco Bandai Games                     | Xbox 360 | 2011 | Europe
|       | Dark Souls II                                                                    | Namco Bandai Games                     | Xbox 360 | 2014 | Europe
|       | Dark Souls II: Scholar of the First Sin                                          | Bandai Namco Games                     | Xbox 360 | 2015 | Europe
|       | Dark Void                                                                        | Capcom                                 | Xbox 360 | 2010 | Europe
|       | Darkness II, The                                                                 | 2K Games                               | Xbox 360 | 2012 | Europe
|       | Darkness, The                                                                    | 2K Games                               | Xbox 360 | 2007 | Europe
|       | Darksiders                                                                       | THQ                                    | Xbox 360 | 2010 | Europe
|       | Darksiders Collection                                                            | Nordic Games Publishing                | Xbox 360 | 2014 | Europe
|       | Darksiders II                                                                    | THQ                                    | Xbox 360 | 2012 | Europe
|       | DarkStar One: Broken Alliance                                                    | Kalypso                                | Xbox 360 | 2010 | Europe
|       | de Blob 2                                                                        | THQ                                    | Xbox 360 | 2011 | Europe
|       | Dead Island                                                                      | Deep Silver                            | Xbox 360 | 2011 | Europe
|       | Dead Island: Game of the Year Edition                                            | Deep Silver                            | Xbox 360 | 2012 | Europe
|       | Dead Island: Riptide                                                             | Deep Silver                            | Xbox 360 | 2013 | Europe
|       | Dead or Alive 4                                                                  | Tecmo                                  | Xbox 360 | 2006 | Europe
|       | Dead or Alive 5                                                                  | Tecmo Koei Games                       | Xbox 360 | 2012 | Europe
|       | Dead or Alive 5 Ultimate                                                         | Koei Tecmo Games                       | Xbox 360 | 2013 | Europe
|       | Dead or Alive Xtreme 2                                                           | Tecmo                                  | Xbox 360 | 2006 | Europe
|       | Dead Rising                                                                      | Capcom                                 | Xbox 360 | 2006 | Europe
|       | Dead Rising 2                                                                    | Capcom                                 | Xbox 360 | 2010 | Europe
|       | Dead Rising 2: Off the Record                                                    | Capcom                                 | Xbox 360 | 2011 | Europe
|       | Dead Rising Collection, The                                                      | Capcom                                 | Xbox 360 | 2014 | Europe
|       | Dead Space                                                                       | Electronic Arts                        | Xbox 360 | 2008 | Europe
|       | Dead Space 2                                                                     | Electronic Arts                        | Xbox 360 | 2011 | Europe
|       | Dead Space 3                                                                     | Electronic Arts                        | Xbox 360 | 2013 | Europe
|       | Dead to Rights: Retribution                                                      | Namco Bandai Games                     | Xbox 360 | 2010 | Europe
|       | Deadfall Adventures                                                              | Nordic Games Publishing                | Xbox 360 | 2013 | Europe
|       | Deadly Premonition                                                               | Rising Star Games                      | Xbox 360 | 2010 | Europe
|       | Deadpool                                                                         | Activision                             | Xbox 360 | 2013 | Europe
|       | Deathsmiles                                                                      | Rising Star Games                      | Xbox 360 | 2011 | Europe
|       | Deepak Chopra's Leela                                                            | THQ                                    | Xbox 360 | 2011 | Europe
|       | Def Jam Rapstar                                                                  | Konami                                 | Xbox 360 | 2010 | Europe
|       | Def Jam: Icon                                                                    | EA Games                               | Xbox 360 | 2007 | Europe
|       | Defiance                                                                         | Trion Worlds                           | Xbox 360 | 2013 | Europe
|       | Destiny                                                                          | Activision                             | Xbox 360 | 2014 | Europe
|       | Destiny: The Taken King - Legendary Edition                                      | Activision                             | Xbox 360 | 2015 | Europe
|       | Destroy All Humans! Path of the Furon                                            | THQ                                    | Xbox 360 | 2009 | Europe
|       | Deus Ex: Human Revolution                                                        | Square Enix                            | Xbox 360 | 2011 | Europe
|       | Deus Ex: Human Revolution - Director's Cut                                       | Square Enix                            | Xbox 360 | 2013 | Europe
|       | Devil May Cry 4                                                                  | Capcom                                 | Xbox 360 | 2008 | Europe
