|       | Fatal Frame II: Crimson Butterfly Director's Cut                          | Tecmo                                  | Xbox   | 2004 | NTSC (NA)
|       | FIFA 07 Soccer                                                            | EA Sports                              | Xbox   | 2006 | NTSC (NA)
|       | FIFA Soccer 06                                                            | EA Sports                              | Xbox   | 2005 | NTSC (NA)
|       | FIFA Soccer 2003                                                          | EA Sports                              | Xbox   | 2002 | NTSC (NA)
|       | FIFA Soccer 2004                                                          | EA Sports                              | Xbox   | 2003 | NTSC (NA)
|       | FIFA Soccer 2005                                                          | EA Sports                              | Xbox   | 2004 | NTSC (NA)
|       | FIFA Street                                                               | EA Sports Big                          | Xbox   | 2005 | NTSC (NA)
|       | FIFA Street 2                                                             | EA Sports Big                          | Xbox   | 2006 | NTSC (NA)
|       | FIFA World Cup: Germany 2006                                              | Electronic Arts                        | Xbox   | 2006 | NTSC (NA)
|       | Fight Club                                                                | VU Games                               | Xbox   | 2004 | NTSC (NA)
|       | Fight Night 2004                                                          | EA Sports                              | Xbox   | 2004 | NTSC (NA)
|       | Fight Night Round 2                                                       | EA Sports                              | Xbox   | 2005 | NTSC (NA)
|       | Fight Night Round 3                                                       | EA Sports                              | Xbox   | 2006 | NTSC (NA)
|       | Final Fight: Streetwise                                                   | Capcom                                 | Xbox   | 2006 | NTSC (NA)
|       | Finding Nemo                                                              | THQ                                    | Xbox   | 2003 | NTSC (NA)
|       | Fire Blade                                                                | Midway                                 | Xbox   | 2002 | NTSC (NA)
|       | FlatOut                                                                   | Empire Interactive                     | Xbox   | 2005 | NTSC (NA)
|       | FlatOut 2                                                                 | Vivendi Games                          | Xbox   | 2006 | NTSC (NA)
|       | Ford Bold Moves Street Racing                                             | Eidos Interactive                      | Xbox   | 2006 | NTSC (NA)
|       | Ford Mustang: The Legend Lives                                            | 2K Games                               | Xbox   | 2005 | NTSC (NA)
|       | Ford Racing 2                                                             | Take-Two Interactive                   | Xbox   | 2003 | NTSC (NA)
|       | Ford Racing 3                                                             | 2K Games                               | Xbox   | 2005 | NTSC (NA)
|       | Ford vs. Chevy                                                            | Global Star Software                   | Xbox   | 2005 | NTSC (NA)
|       | Forgotten Realms: Demon Stone                                             | Atari                                  | Xbox   | 2004 | NTSC (NA)
|       | Forza Motorsport                                                          | Microsoft Game Studios                 | Xbox   | 2005 | NTSC (NA)
|       | Freaky Flyers                                                             | Midway                                 | Xbox   | 2003 | NTSC (NA)
|       | Freedom Fighters                                                          | EA Games                               | Xbox   | 2003 | NTSC (NA)
