| | Arc the Lad III [PSone Books] [Disc1of2] | | PlayStation | | NTSC (JP) | SCPS-91316
| | Arc the Lad III [PSone Books] [Disc2of2] | | PlayStation | | NTSC (JP) | SCPS-91317
| | Arc the Lad III [Trial Version] | | PlayStation | | NTSC (JP) | PAPX-90093
| | Arc the Lad Monster Game with Casino Game [Disc1of2] | | PlayStation | | NTSC (JP) | SCPS-10040
| | Arc the Lad Monster Game with Casino Game [Disc2of2] | | PlayStation | | NTSC (JP) | SCPS-10041
| | Arcade Hits - Crazy Climber [MajorWave 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87067
| | Arcade Hits - Frisky Tom [MajorWave 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87118
| | Arcade Hits - Magical Drop [MajorWave 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87173
| | Arcade Hits - Raiden | | PlayStation | | NTSC (JP) | SLPM-86613
| | Arcade Hits - Sonic Wings Special [MajorWave 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87137
| | Arcade Hits - Suikou Enbu [MajorWave 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87145
| | Are! mo Kore mo Momotarou - Nihon Tararebanashi Tour Ichi | | PlayStation | | NTSC (JP) | SLPS-00428
| | Area 51 | | PlayStation | | NTSC (JP) | SLPS-00726
| | Area 51 [with Lightgun] | | PlayStation | | NTSC (JP) | SLPS-00725
| | Arkana Senki Ludo | | PlayStation | | NTSC (JP) | SLPS-01438
| | Arkanoid R 2000 | | PlayStation | | NTSC (JP) | SLPM-86262
| | Arkanoid Returns | | PlayStation | | NTSC (JP) | SLPS-00948
| | Armed Fighter | | PlayStation | | NTSC (JP) | SLPS-01598
| | Armored Core | | PlayStation | | NTSC (JP) | SCPS-45060
| | Armored Core | | PlayStation | | NTSC (JP) | SLPS-00900
| | Armored Core - Master of Arena [Disc1of2] | | PlayStation | | NTSC (JP) | SLPS-01855
| | Armored Core - Master of Arena [Disc2of2] | | PlayStation | | NTSC (JP) | SLPS-01856
| | Armored Core - Master of Arena [Demo] | | PlayStation | | NTSC (JP) | SLPM-80371
| | Armored Core - Master of Arena [PlayStation the Best] [Disc1of2] | | PlayStation | | NTSC (JP) | SLPS-91188
| | Armored Core - Master of Arena [PlayStation the Best] [Disc2of2] | | PlayStation | | NTSC (JP) | SLPS-91189
| | Armored Core - Master of Arena [PSone Books] [Disc1of2] | | PlayStation | | NTSC (JP) | SLPS-91444
| | Armored Core - Master of Arena [PSone Books] [Disc2of2] | | PlayStation | | NTSC (JP) | SLPS-91445
| | Armored Core - Project Phantasma | | PlayStation | | NTSC (JP) | SLPS-01130
| | Armored Core - Project Phantasma [PlayStation the Best] | | PlayStation | | NTSC (JP) | SLPS-91110
| | Armored Core - Project Phantasma [PSone Books] | | PlayStation | | NTSC (JP) | SLPS-91424
| | Armored Core [Demo] | | PlayStation | | NTSC (JP) | SLPM-80118
| | Armored Core [PlayStation the Best] | | PlayStation | | NTSC (JP) | SLPS-91064
| | Armored Core [Premium Box] | | PlayStation | | NTSC (JP) | SLPS-03581
| | Armored Core [PSone Books] | | PlayStation | | NTSC (JP) | SLPS-91402
| | Armorines - Project Swarm | | PlayStation | | NTSC (JP) | SLPM-86502
| | Art Camion - Geijutsuden [Taito The Best] | | PlayStation | | NTSC (JP) | SLPM-87186
| | Art Camion Geijutsuden | | PlayStation | | NTSC (JP) | SLPS-02405
| | Art Camion Sugorokuden | | PlayStation | | NTSC (JP) | SLPS-02710
| | Art Truck Battle - Bakusou Dekotora Densetsu | | PlayStation | | NTSC (JP) | SLPS-01441
| | Arthur to Astaroth no Nazo Makaimura - Incredible Toons | | PlayStation | | NTSC (JP) | SLPS-00363
| | Arubarea no Otome - Uruwashi no Seikishitachi | | PlayStation | | NTSC (JP) | SLPS-01578
| | ASCII Zanmai | | PlayStation | | NTSC (JP) | SLPM-80289
| | Asonde Aiueo | | PlayStation | | NTSC (JP) | SLPS-03540
| | Asonde Chinou Up | | PlayStation | | NTSC (JP) | SLPS-03542
| | Asonde Kazu Suuji | | PlayStation | | NTSC (JP) | SLPS-03541
| | Assault Rigs | | PlayStation | | NTSC (JP) | SLPS-00512
| | Assault Soldier [SuperLite 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-86458
| | Assault Suits Valken 2 | | PlayStation | | NTSC (JP) | SCPS-45420
| | Astro Trooper Vanark | | PlayStation | | NTSC (JP) | SLPS-01862
| | Astronoka [Disc1of2] | | PlayStation | | NTSC (JP) | SLPM-86088
| | Astronoka [Disc2of2] | | PlayStation | | NTSC (JP) | SLPM-86089
| | Astronoka [Preview] [Star Ocean - The Second Story - Bonus Disc] | | PlayStation | | NTSC (JP) | SLPM-86107
| | Astronoka [Trial Version] | | PlayStation | | NTSC (JP) | SLPM-80278
| | Asuka 120% Excellent - Burning Fest. | | PlayStation | | NTSC (JP) | SLPS-00849
| | Asuka 120% Final - Burning Fest. | | PlayStation | | NTSC (JP) | SLPS-02074
| | Asuka 120% Final - Burning Fest. [SuperLite 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87152
| | Asuka 120% Special - Burning Fest. | | PlayStation | | NTSC (JP) | SLPS-00231
| | Asuncia - Strategic Fantasy Role Playing Game | | PlayStation | | NTSC (JP) | SLPS-01097
| | Asuncia - Strategic Fantasy Role Playing Game [Maruan Series 9] | | PlayStation | | NTSC (JP) | SLPS-03075
| | Athena - Awakening from the Ordinary Life [Disc1of3] | | PlayStation | | NTSC (JP) | SLPM-86185
| | Athena - Awakening from the Ordinary Life [Disc2of3] | | PlayStation | | NTSC (JP) | SLPM-86186
| | Athena - Awakening from the Ordinary Life [Disc3of3] | | PlayStation | | NTSC (JP) | SLPM-86187
| | Athena - Awakening from the Ordinary Life [Trial Version] | | PlayStation | | NTSC (JP) | SLPM-80413
| | Athena no Kateiban - Family Game | | PlayStation | | NTSC (JP) | SLPS-00263
| | Athena no Kateiban - Family Game [Reprint] | | PlayStation | | NTSC (JP) | SLPS-02751
| | Atlanta Olympics '96 | | PlayStation | | NTSC (JP) | SLPS-00465
| | Atlanta Olympics '96 - Olympic Soccer | | PlayStation | | NTSC (JP) | SLPS-00523
| | Atlantis - The Lost Tales [Disc1of3] | | PlayStation | | NTSC (JP) | SLPS-02136
| | Atlantis - The Lost Tales [Disc2of3] | | PlayStation | | NTSC (JP) | SLPS-02137
| | Atlantis - The Lost Tales [Disc3of3] | | PlayStation | | NTSC (JP) | SLPS-02138
| | Atlus Shinsaku Title [Demo] | | PlayStation | | NTSC (JP) | SLPM-80224
| | ATV - Quad Power Racing | | PlayStation | | NTSC (JP) | SLPM-86636
| | Aubird Force [Trial Version] | | PlayStation | | NTSC (JP) | SLPM-80053
| | Aubirdforce | | PlayStation | | NTSC (JP) | SLPS-00533
| | Aubirdforce [Limited Edition] | | PlayStation | | NTSC (JP) | SLPS-00546
| | Aubirdforce After | | PlayStation | | NTSC (JP) | SLPS-01606
| | Aura Battler Dunbine | | PlayStation | | NTSC (JP) | SLPS-02390
| | Aura Battler Dunbine [Bandai The Best] | | PlayStation | | NTSC (JP) | SLPS-03257
| | Ayakashi Ninden Kunoichiban [Disc1of2] | | PlayStation | | NTSC (JP) | SLPS-00946
| | Ayakashi Ninden Kunoichiban [Disc2of2] | | PlayStation | | NTSC (JP) | SLPS-00947
| | Ayrton Senna - Kart Duel | | PlayStation | | NTSC (JP) | SLPS-00380
| | Ayrton Senna - Kart Duel 2 | | PlayStation | | NTSC (JP) | SLPS-01072
| | Ayrton Senna - Kart Duel Special | | PlayStation | | NTSC (JP) | SLPS-01659
| | Azito | | PlayStation | | NTSC (JP) | SLPS-00683
| | Azito [MajorWave 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87284
| | Azito 2 | | PlayStation | | NTSC (JP) | SLPS-01526
| | Azito 3 | | PlayStation | | NTSC (JP) | SLPS-02496
| | Azumanga Donjara Daiou | | PlayStation | | NTSC (JP) | SLPS-03424
