|       | Magical Chase                                               | PalSoft                      | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Mahjong Gakuen Toumasou Shirou Toujou                       | Face                         | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Mahjong Gakuen Toumasou Shirou Toujou Mild                  | Face                         | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Mahjong Goku Special                                        | SunSoft                      | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Mahjong Haouden: Kaiser's Quest                             | UPL                          | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Mahjong Shikaku Retsuden: Mahjong Wars                      | Nihon Bussan                 | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Maison Ikkoku                                               | Micro Cabin                  | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Majin Eiyuuden Wataru                                       | Hudson                       | TurboGrafx-16 | 1988 | NTSC (JP)
|       | Makai Hakkenden Shada                                       | Data East                    | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Makai Prince Dorabocchan                                    | Naxat Soft                   | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Makyou Densetsu                                             | Victor Interactive Software  | TurboGrafx-16 | 1988 | NTSC (JP)
|       | Maniac Pro-Wrestling: Ashita e no Tatakai                   | Hudson                       | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Marchen Maze                                                | Namco                        | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Mesopotamia                                                 | ATLUS                        | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Metal Stoker                                                | Face                         | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Mizubaku Daibouken                                          | Taito Corporation            | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Momotarou Densetsu Gaiden 1: Dai 1 Shuu                     | Hudson                       | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Momotarou Densetsu II                                       | Hudson                       | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Momotarou Densetsu Turbo                                    | Hudson                       | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Momotarou Katsugeki                                         | Hudson                       | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Monster Pro Wrestling                                       | ASK                          | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Morita Shogi PC                                             | NEC Interchannel             | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Moto Roader                                                 | NEC Interchannel             | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Moto Roader II                                              | NCS                          | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Mr. Heli no Daibouken                                       | Irem                         | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Mr. Heli no Daibouken                                       | Irem                         | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Narazumono Sentou Butai: Bloody Wolf                        | Data East                    | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Naxat Open                                                  | Naxat Soft                   | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Naxat Stadium                                               | Naxat Soft                   | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Nazo no Masquerade                                          | NCS                          | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Necros no Yousai                                            | ASK                          | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Nectaris                                                    | Hudson                       | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Nekketsu Koukou Dodge Ball-Bu: PC Bangai-hen                | Naxat Soft                   | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Nekketsu Koukou Dodge Ball-Bu: PC Soccer-hen                | Naxat Soft                   | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Neutopia II                                                 | Hudson                       | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Neutopia: Frey no Shou                                      | Hudson                       | TurboGrafx-16 | 1989 | NTSC (JP)
|       | New Zealand Story, The                                      | Taito Corporation            | TurboGrafx-16 | 1990 | NTSC (JP)
|       | NHK Taiga Drama: Taiheiki                                   | NHK                          | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Niko-Niko Pun                                               | NHK                          | TurboGrafx-16 | 1991 | NTSC (JP)
