|       | Hot Wheels: World's Best Driver                                          | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | PAL
|       | How to Train Your Dragon 2                                               | Little Orbit                           | Nintendo Wii U | 2014 | PAL
|       | Hyrule Warriors                                                          | Nintendo                               | Nintendo Wii U | 2014 | PAL
|       | Injustice: Gods Among Us                                                 | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | PAL
|       | Jett Tailfin                                                             | Funbox Media                           | Nintendo Wii U | 2014 | PAL
|       | Joe's Diner                                                              | UIG Entertainment                      | Nintendo Wii U | 2017 | PAL
|       | Just Dance 2014                                                          | Ubisoft                                | Nintendo Wii U | 2013 | PAL
|       | Just Dance 2015                                                          | Ubisoft                                | Nintendo Wii U | 2014 | PAL
|       | Just Dance 2016                                                          | Ubisoft                                | Nintendo Wii U | 2015 | PAL
|       | Just Dance 2017                                                          | Ubisoft                                | Nintendo Wii U | 2016 | PAL
|       | Just Dance 2018                                                          | Ubisoft                                | Nintendo Wii U | 2017 | PAL
|       | Just Dance 4                                                             | Ubisoft                                | Nintendo Wii U | 2012 | PAL
|       | Just Dance Kids 2014                                                     | Ubisoft                                | Nintendo Wii U | 2013 | PAL
|       | Just Dance: Disney Party 2                                               | Ubisoft                                | Nintendo Wii U | 2015 | PAL
|       | Kirby and the Rainbow Paintbrush                                         | Nintendo                               | Nintendo Wii U | 2015 | PAL
|       | Kung Fu Panda: Showdown of Legendary Legends                             | Little Orbit                           | Nintendo Wii U | 2015 | PAL
|       | Legend of Kay Anniversary                                                | Nordic Games Publishing                | Nintendo Wii U | 2015 | PAL
|       | Legend of Zelda: Breath of the Wild, The                                 | Nintendo                               | Nintendo Wii U | 2017 | PAL
|       | Legend of Zelda: The Wind Waker HD, The                                  | Nintendo                               | Nintendo Wii U | 2013 | PAL
|       | Legend of Zelda: Twilight Princess HD, The                               | Nintendo                               | Nintendo Wii U | 2016 | PAL
|       | LEGO Batman 2: DC Super Heroes                                           | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | PAL
|       | LEGO Batman 3: Beyond Gotham                                             | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2014 | PAL
|       | LEGO City Undercover                                                     | Nintendo                               | Nintendo Wii U | 2013 | PAL
|       | LEGO Dimensions                                                          | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2015 | PAL
|       | LEGO Jurassic World                                                      | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2015 | PAL
|       | LEGO Marvel Super Heroes                                                 | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | PAL
|       | LEGO Marvel's Avengers                                                   | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2016 | PAL
|       | LEGO Movie Videogame, The                                                | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2014 | PAL
|       | LEGO Star Wars: The Force Awakens                                        | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2016 | PAL
|       | LEGO The Hobbit                                                          | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2014 | PAL
|       | Luv me Buddies Wonderland                                                | Oxygene                                | Nintendo Wii U | 2014 | PAL
|       | Mario & Sonic at the Rio 2016 Olympic Games                              | Nintendo                               | Nintendo Wii U | 2016 | PAL
|       | Mario & Sonic at the Sochi 2014 Olympic Winter Games                     | Nintendo                               | Nintendo Wii U | 2013 | PAL
|       | Mario Kart 8                                                             | Nintendo                               | Nintendo Wii U | 2014 | PAL
|       | Mario Party 10                                                           | Nintendo                               | Nintendo Wii U | 2015 | PAL
|       | Mario Tennis: Ultra Smash                                                | Nintendo                               | Nintendo Wii U | 2015 | PAL
|       | Mario vs. Donkey Kong: Tipping Stars                                     | Nintendo                               | Nintendo Wii U | 2015 | PAL
|       | Marvel Avengers: Battle for Earth                                        | Ubisoft                                | Nintendo Wii U | 2013 | PAL
|       | Mass Effect 3: Special Edition                                           | Electronic Arts                        | Nintendo Wii U | 2012 | PAL
|       | Mighty No. 9                                                             | Deep Silver                            | Nintendo Wii U | 2016 | PAL
|       | Minecraft: Story Mode - A Telltale Games Series - The Complete Adventure | Telltale Games                         | Nintendo Wii U | 2016 | PAL
|       | Minecraft: Wii U Edition                                                 | Mojang AB                              | Nintendo Wii U | 2016 | PAL
|       | Monster High: 13 Wishes                                                  | Little Orbit                           | Nintendo Wii U | 2013 | PAL
|       | Monster High: New Ghoul in School                                        | Little Orbit                           | Nintendo Wii U | 2015 | PAL
|       | Monster Hunter 3 Ultimate                                                | Capcom                                 | Nintendo Wii U | 2013 | PAL
|       | NBA 2K13                                                                 | 2K Sports                              | Nintendo Wii U | 2012 | PAL
|       | Need for Speed: Most Wanted U - A Criterion Game                         | Electronic Arts                        | Nintendo Wii U | 2013 | PAL
|       | New Super Luigi U                                                        | Nintendo                               | Nintendo Wii U | 2013 | PAL
|       | New Super Mario Bros. U                                                  | Nintendo                               | Nintendo Wii U | 2012 | PAL
|       | New Super Mario Bros. U + New Super Luigi U                              | Nintendo                               | Nintendo Wii U | 2013 | PAL
|       | Ninja Gaiden 3: Razor's Edge                                             | Nintendo                               | Nintendo Wii U | 2013 | PAL
|       | Nintendo Land                                                            | Nintendo                               | Nintendo Wii U | 2012 | PAL
|       | One Piece: Unlimited World Red                                           | Bandai Namco Games                     | Nintendo Wii U | 2014 | PAL
|       | Pac-Man and the Ghostly Adventures                                       | Namco Bandai Games                     | Nintendo Wii U | 2014 | PAL
|       | Pac-Man and the Ghostly Adventures 2                                     | Bandai Namco Games                     | Nintendo Wii U | 2014 | PAL
|       | Paper Mario: Color Splash                                                | Nintendo                               | Nintendo Wii U | 2016 | PAL
|       | Peanuts Movie: Snoopy's Grand Adventure, The                             | Activision                             | Nintendo Wii U | 2015 | PAL
|       | Penguins of Madagascar                                                   | Little Orbit                           | Nintendo Wii U | 2014 | PAL
|       | Phineas and Ferb: Quest for Cool Stuff                                   | 505 Games                              | Nintendo Wii U | 2014 | PAL
