|       | Frankenstein: The Monster Returns                           | Bandai                         | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Freedom Force                                               | SunSoft                        | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Friday the 13th                                             | LJN Ltd.                       | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Fun House                                                   | Hi-Tech                        | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | G.I. Joe: A Real American Hero                              | Taxan                          | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | G.I. Joe: The Atlantis Factor                               | Capcom                         | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Galactic Crusader                                           | Bunch Games, Inc.              | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Galaga: Demons of Death                                     | Bandai                         | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Galaxy 5000: Racing in the 51st Century                     | Activision                     | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Gargoyle's Quest II                                         | Capcom                         | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Gauntlet                                                    | Tengen                         | Nintendo Entertainment System | 1987 | NTSC (NA)
|       | Gauntlet II                                                 | Mindscape Inc.                 | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Gemfire                                                     | Koei                           | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Genghis Khan                                                | Koei                           | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | George Foreman's KO Boxing                                  | Acclaim                        | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Ghost Lion                                                  | Kemco                          | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Ghostbusters                                                | Activision                     | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Ghostbusters II                                             | Activision                     | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Ghosts 'n Goblins                                           | Capcom                         | Nintendo Entertainment System | 1986 | NTSC (NA)
|       | Ghoul School                                                | Electro Brain                  | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Goal!                                                       | Jaleco Entertainment           | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Goal! Two                                                   | Jaleco Entertainment           | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Godzilla 2: War of the Monsters                             | Toho                           | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Godzilla: Monster of Monsters!                              | Toho                           | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Golf                                                        | Nintendo                       | Nintendo Entertainment System | 1985 | NTSC (NA)
|       | Golf Grand Slam                                             | ATLUS                          | Nintendo Entertainment System | 1991 | NTSC (NA)
